Name,P-value,corrected pvalue,ASTb-Mean(%),ASTb-Sd(%),ASCK-Mean(%),ASCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%)
"3.5.4.3","0.03029","0.05429","0.0131","0.0009","0.0101","0.0018","0.0129","0.0023","0.0076","0.0012","0.0129","0.0009","0.0123","0.0009","0.0129","0.0037","0.0096","0.0003"
"2.4.1.288","0.003619","0.01872","0.0135","0.0007","0.01","0.0026","0.0147","0.0042","0.0079","0.0022","0.018","0.0047","0.007","0.0007","0.0125","0.0034","0.0069","0.0004"
"4.1.1.55","0.005437","0.02114","0.0096","0.0055","0.0086","0.0023","0.0095","0.0029","0.0132","0.0006","0.0059","0.0026","0.0176","0.0028","0.0106","0.0031","0.0154","0.0005"
"4.2.1.68","0.01646","0.03647","0.014","0.0029","0.007","0.0008","0.0123","0.002","0.0058","0.0006","0.0123","0.0036","0.0121","0.0025","0.0152","0.0011","0.0114","0"
"2.3.2.3","0.1074","0.1381","0.0118","0.0023","0.0106","0.0016","0.0104","0.0019","0.0127","0.0012","0.0091","0.0011","0.0106","0.001","0.0135","0.0037","0.0113","0.0007"
"4.1.3.30","0.1659","0.199","0.0118","0.0018","0.0111","0.0033","0.0108","0.0027","0.0087","0.0005","0.0105","0.0017","0.0129","0.0008","0.0137","0.0038","0.0105","0.0003"
"1.3.99.8","0.01146","0.02916","0.0096","0.0053","0.0085","0.0029","0.0091","0.0026","0.0128","0.0007","0.007","0.0037","0.0163","0.0025","0.0106","0.0028","0.0156","0.0007"
"2.4.1.12","0.1285","0.1604","0.0105","0.0052","0.0101","0.0037","0.0101","0.0035","0.0143","0.0011","0.0078","0.0017","0.0124","0.0019","0.0119","0.0032","0.0123","0.0003"
"4.1.3.17","0.0007767","0.01834","0.0139","0.0014","0.0075","0.0012","0.0126","0.0003","0.0053","0.0008","0.0162","0.0039","0.0081","0.0007","0.0153","0.0039","0.0097","0.0003"
"1.13.11.37","0.0872","0.1182","0.0101","0.0014","0.0091","0.0026","0.0123","0.0013","0.0101","0.0007","0.0122","0.002","0.0129","0.0019","0.0097","0.0021","0.0119","0.0006"
"2.5.1.105","0.02131","0.04345","0.0094","0.0017","0.0102","0.0021","0.0108","0.0023","0.0113","0.0001","0.0093","0.0023","0.0141","0.0022","0.01","0.0027","0.0127","0.0004"
"1.1.1.28","0.009953","0.02661","0.0112","0.003","0.0104","0.0019","0.0098","0.0016","0.0091","0.0011","0.0081","0.0017","0.0149","0.001","0.0123","0.0023","0.012","0.0005"
